application_id,tin,as_of_date,application_channel,application_period_start,application_period_end,segment
WHTEX-2024-02-893397,2997570263,2024-02-01,BACKOFFICE,2023-07-01,2024-06-30,SMALL
WHTEX-2025-02-586172,2579160219,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-09-459450,8665499644,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-03-535547,7001499571,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-781496,2212228224,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-06-339783,2969709479,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-11-262352,5191816963,2025-11-01,BACKOFFICE,2025-07-01,2026-06-30,LARGE
WHTEX-2024-06-706268,9465349687,2024-06-01,BACKOFFICE,2023-07-01,2024-06-30,SMALL
WHTEX-2024-03-449704,2790610404,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-11-888261,1629384683,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-01-698827,6794786080,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-324968,7969760510,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-01-859013,3786146074,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-04-701524,8399921914,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-825994,6738480822,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-07-795289,5351217862,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-12-994605,4869613449,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-05-389187,3555175940,2025-05-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-306829,4449878404,2024-10-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-09-358698,7550589690,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-04-473412,1323089974,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-09-743101,4971004736,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-01-433788,7042631717,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-553296,7237858842,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-05-416247,8522766741,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-01-422382,8408145856,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-468503,3688831635,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-10-907915,5229688547,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-05-824084,2623183494,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-11-609210,6767997711,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-02-913729,3076716747,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-08-645548,6581013660,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-12-910716,5229688547,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-168872,7565455790,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-11-708928,6458788903,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-12-737125,6490220576,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,LARGE
WHTEX-2024-10-946397,1953076633,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-04-529011,8039900757,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-08-105221,6136575455,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-553093,5459422071,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2024-10-428930,2737067825,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-02-438981,2699010080,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-05-884071,2737373417,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-10-513170,2597559241,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-03-675366,1985385931,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-356075,6894963317,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-02-420945,7887891015,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-04-564527,7531440654,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-357747,9219864671,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-353193,5082527606,2024-08-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-04-995006,5591496639,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-06-785291,1673033808,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-05-197156,3458684723,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-275724,8680102040,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-01-176481,7067756732,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-657782,9897435086,2024-10-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-11-191498,2787252971,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-02-544655,9244106606,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-677969,2696772104,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-08-871604,9161265282,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-08-337755,4990727789,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-751250,4614954706,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-03-908289,2387717939,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-06-707330,6670106601,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-852485,8421977714,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-04-817966,6851125140,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-04-339517,1795620616,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-08-597836,7347451685,2025-08-01,BACKOFFICE,2025-07-01,2026-06-30,SMALL
WHTEX-2024-04-262783,2960535626,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-05-540569,1554355548,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-05-226530,4811458552,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-346240,3278661455,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-02-267966,5725839100,2024-02-01,BACKOFFICE,2023-07-01,2024-06-30,LARGE
WHTEX-2025-04-636929,8217161501,2025-04-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-465922,5756875560,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-879337,6455767859,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-09-780310,8428595600,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-06-825415,6069846175,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-09-349275,5446572432,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-01-327280,7434318726,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-03-299176,9012321402,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-12-444078,1899566701,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-766495,7721106502,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-775468,3740198738,2024-08-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-843497,3768989197,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-590366,2274750711,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-12-402618,6474706812,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-11-165831,1182350153,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-663345,8394518233,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-03-467013,6423010889,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-480679,2379558849,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-11-320518,1708689608,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-868190,8384553494,2025-10-01,BACKOFFICE,2025-07-01,2026-06-30,LARGE
WHTEX-2024-04-751656,1008932176,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-08-337356,3902413968,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-640989,1355712568,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-02-381990,1348503411,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-978152,3592539718,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-01-910997,4026572473,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2024-12-871616,3095670564,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-06-190292,1535380229,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-11-212661,4807777476,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-03-642424,7111667891,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-11-122043,1763304321,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-472170,5481386675,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-02-178947,8309714966,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-06-997586,4053899311,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-167362,6906066832,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-11-532709,6596128268,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-483090,6329195424,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-11-120619,1834804696,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-10-425045,4611757018,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-03-914931,7844914204,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-498983,8087174871,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-12-293434,2700643457,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-06-296904,7112308315,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-390311,5825803718,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-05-771693,7343861211,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-04-454937,4072483606,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-06-137639,3563268297,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-04-915428,7834069900,2025-04-01,BACKOFFICE,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-07-515018,2178291809,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-07-569816,2772818427,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-03-653460,3175296381,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-853762,1577879664,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-09-102963,6583219386,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-644142,2981179722,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-11-541007,9318523453,2025-11-01,BACKOFFICE,2025-07-01,2026-06-30,SMALL
WHTEX-2024-01-599664,9959997696,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-05-927905,1715550067,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-10-832053,4879687218,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-06-572428,2312490706,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-05-605789,2868734548,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-01-996042,2905949471,2024-01-01,BACKOFFICE,2023-07-01,2024-06-30,SMALL
WHTEX-2024-04-376084,1209048241,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-11-437553,2601212394,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-05-557487,7241864226,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-331555,2282122650,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2024-11-792661,1475263912,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-11-757323,4390606070,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-03-275968,5253003850,2024-03-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-10-777732,3532455028,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-05-809977,2685150501,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-10-491701,5977934221,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-05-499406,2256612887,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-06-853297,8378279724,2025-06-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-09-851274,8864996481,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-09-880656,8380942703,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-10-610390,2671895213,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-10-696845,9882029822,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-10-330475,5285204389,2025-10-01,BACKOFFICE,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-12-277886,7788443634,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-11-364569,8914810680,2025-11-01,BACKOFFICE,2025-07-01,2026-06-30,SMALL
WHTEX-2024-07-891828,6596302460,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-209492,9994797183,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-07-717302,1165940225,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-01-365189,3316350817,2024-01-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-09-590797,3898725456,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-11-268914,9366156240,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-08-278618,3503460555,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-797694,2033512069,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,LARGE
WHTEX-2025-08-787475,6366154685,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-03-627752,6435501984,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-07-380241,7084170640,2024-07-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-08-897441,3981259542,2024-08-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-881937,1522976335,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-12-797655,5255984639,2025-12-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-12-696740,7931738021,2025-12-01,BACKOFFICE,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-872950,2354086104,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-03-928324,7516110269,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-08-308702,3525297584,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-11-836752,8262498019,2025-11-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-05-124860,7637144006,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-09-935921,7512034186,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-08-422252,9632883455,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-02-178376,7757547262,2025-02-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-05-250814,5446572432,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-198036,8901917928,2025-03-01,ONLINE_PORTAL,2024-07-01,2025-06-30,LARGE
WHTEX-2025-09-869816,6983657709,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,MEDIUM
WHTEX-2024-04-522573,4073844359,2024-04-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-803348,2668377455,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-10-279610,9537809488,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-10-603772,5981867560,2024-10-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-02-964430,3722322530,2024-02-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2024-12-552165,9073300590,2024-12-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-102175,8589905971,2025-10-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-03-214295,6312882257,2024-03-01,BACKOFFICE,2023-07-01,2024-06-30,LARGE
WHTEX-2024-06-466072,1529636835,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2025-01-788227,1856791782,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-06-271638,2070579796,2024-06-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-09-292101,2637486597,2025-09-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2024-11-632002,8700779095,2024-11-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-05-882482,4572460609,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-712834,6459097016,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,MEDIUM
WHTEX-2024-09-610087,8680102040,2024-09-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-04-982210,8519617336,2024-04-01,BACKOFFICE,2023-07-01,2024-06-30,SMALL
WHTEX-2025-08-795243,1944817443,2025-08-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-05-448151,6793664188,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-07-291516,1024365463,2025-07-01,ONLINE_PORTAL,2025-07-01,2026-06-30,SMALL
WHTEX-2025-06-184952,9731814153,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-03-434018,2772818427,2025-03-01,BACKOFFICE,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-172717,8040555311,2024-05-01,ONLINE_PORTAL,2023-07-01,2024-06-30,SMALL
WHTEX-2025-05-860256,8218538082,2025-05-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2025-01-777257,7419323766,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-10-223307,5411777881,2025-10-01,BACKOFFICE,2025-07-01,2026-06-30,MEDIUM
WHTEX-2025-01-900535,6079534123,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2025-01-273484,8696475518,2025-01-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
WHTEX-2024-12-498912,7348657289,2024-12-01,ONLINE_PORTAL,2024-07-01,2025-06-30,SMALL
WHTEX-2024-05-622264,3827393992,2024-05-01,BACKOFFICE,2023-07-01,2024-06-30,LARGE
WHTEX-2025-06-130011,5958178916,2025-06-01,ONLINE_PORTAL,2024-07-01,2025-06-30,MEDIUM
